name,january,february,march,april,may,june,july,august,september,october,november,december
Aarhus,278.55,278.55,278.55,278.55,278.55,278.55,278.55,278.55,278.55,278.55,278.55,278.55
Adelaide,296.58,296.58,296.58,296.58,296.58,296.58,296.58,296.58,296.58,296.58,296.58,296.58
Albuquerque,280.62,280.62,280.62,280.62,280.62,280.62,280.62,280.62,280.62,280.62,280.62,280.62
Almaty,268.15,268.15,268.15,268.15,268.15,268.15,268.15,268.15,268.15,268.15,268.15,268.15
Amsterdam,280.34,280.34,280.34,280.34,280.34,280.34,280.34,280.34,280.34,280.34,280.34,280.34
Anchorage,269.52,269.52,269.52,269.52,269.52,269.52,269.52,269.52,269.52,269.52,269.52,269.52
Andorra,277.7,277.7,277.7,277.7,277.7,277.7,277.7,277.7,277.7,277.7,277.7,277.7
Ankara,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23
Asheville,277.27,277.27,277.27,277.27,277.27,277.27,277.27,277.27,277.27,277.27,277.27,277.27
Asuncion,302.15,302.15,302.15,302.15,302.15,302.15,302.15,302.15,302.15,302.15,302.15,302.15
Athens,286.27,286.27,286.27,286.27,286.27,286.27,286.27,286.27,286.27,286.27,286.27,286.27
Atlanta,280.98,280.98,280.98,280.98,280.98,280.98,280.98,280.98,280.98,280.98,280.98,280.98
Auckland,294.82,294.82,294.82,294.82,294.82,294.82,294.82,294.82,294.82,294.82,294.82,294.82
Austin,291.55,291.55,291.55,291.55,291.55,291.55,291.55,291.55,291.55,291.55,291.55,291.55
Baku,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15
Bali,302.15,302.15,302.15,302.15,302.15,302.15,302.15,302.15,302.15,302.15,302.15,302.15
Baltimore,281.75,281.75,281.75,281.75,281.75,281.75,281.75,281.75,281.75,281.75,281.75,281.75
Bangkok,303.46,303.46,303.46,303.46,303.46,303.46,303.46,303.46,303.46,303.46,303.46,303.46
Barcelona,282.22,282.22,282.22,282.22,282.22,282.22,282.22,282.22,282.22,282.22,282.22,282.22
Beijing,281.8,281.8,281.8,281.8,281.8,281.8,281.8,281.8,281.8,281.8,281.8,281.8
Beirut,286.42,286.42,286.42,286.42,286.42,286.42,286.42,286.42,286.42,286.42,286.42,286.42
Belfast,278.69,278.69,278.69,278.69,278.69,278.69,278.69,278.69,278.69,278.69,278.69,278.69
Belgrade,278.15,278.15,278.15,278.15,278.15,278.15,278.15,278.15,278.15,278.15,278.15,278.15
Belize City,296.56,296.56,296.56,296.56,296.56,296.56,296.56,296.56,296.56,296.56,296.56,296.56
Bengaluru,295.67,295.67,295.67,295.67,295.67,295.67,295.67,295.67,295.67,295.67,295.67,295.67
Bergen,279.1,279.1,279.1,279.1,279.1,279.1,279.1,279.1,279.1,279.1,279.1,279.1
Berlin,279.11,279.11,279.11,279.11,279.11,279.11,279.11,279.11,279.11,279.11,279.11,279.11
Bern,278.53,278.53,278.53,278.53,278.53,278.53,278.53,278.53,278.53,278.53,278.53,278.53
Bilbao,281.42,281.42,281.42,281.42,281.42,281.42,281.42,281.42,281.42,281.42,281.42,281.42
Birmingham,284.03,284.03,284.03,284.03,284.03,284.03,284.03,284.03,284.03,284.03,284.03,284.03
Birmingham AL,284.03,284.03,284.03,284.03,284.03,284.03,284.03,284.03,284.03,284.03,284.03,284.03
Bogota,287.15,287.15,287.15,287.15,287.15,287.15,287.15,287.15,287.15,287.15,287.15,287.15
Boise,281.05,281.05,281.05,281.05,281.05,281.05,281.05,281.05,281.05,281.05,281.05,281.05
Bologna,278.08,278.08,278.08,278.08,278.08,278.08,278.08,278.08,278.08,278.08,278.08,278.08
Bordeaux,280.98,280.98,280.98,280.98,280.98,280.98,280.98,280.98,280.98,280.98,280.98,280.98
Boston,277.17,277.17,277.17,277.17,277.17,277.17,277.17,277.17,277.17,277.17,277.17,277.17
Boulder,282.07,282.07,282.07,282.07,282.07,282.07,282.07,282.07,282.07,282.07,282.07,282.07
Bozeman,275.07,275.07,275.07,275.07,275.07,275.07,275.07,275.07,275.07,275.07,275.07,275.07
Bratislava,273.04,273.04,273.04,273.04,273.04,273.04,273.04,273.04,273.04,273.04,273.04,273.04
Brighton,278.07,278.07,278.07,278.07,278.07,278.07,278.07,278.07,278.07,278.07,278.07,278.07
Brisbane,293.72,293.72,293.72,293.72,293.72,293.72,293.72,293.72,293.72,293.72,293.72,293.72
Bristol,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95
Brno,272.29,272.29,272.29,272.29,272.29,272.29,272.29,272.29,272.29,272.29,272.29,272.29
Brussels,279.58,279.58,279.58,279.58,279.58,279.58,279.58,279.58,279.58,279.58,279.58,279.58
Bucharest,281.31,281.31,281.31,281.31,281.31,281.31,281.31,281.31,281.31,281.31,281.31,281.31
Budapest,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7
Buenos Aires,298.63,298.63,298.63,298.63,298.63,298.63,298.63,298.63,298.63,298.63,298.63,298.63
Buffalo,280.99,280.99,280.99,280.99,280.99,280.99,280.99,280.99,280.99,280.99,280.99,280.99
Cairo,288.15,288.15,288.15,288.15,288.15,288.15,288.15,288.15,288.15,288.15,288.15,288.15
Calgary,262.9,262.9,262.9,262.9,262.9,262.9,262.9,262.9,262.9,262.9,262.9,262.9
Cambridge,281.45,281.45,281.45,281.45,281.45,281.45,281.45,281.45,281.45,281.45,281.45,281.45
Cape Town,290.87,290.87,290.87,290.87,290.87,290.87,290.87,290.87,290.87,290.87,290.87,290.87
Caracas,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15
Cardiff,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53
Casablanca,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15
Charleston,281.94,281.94,281.94,281.94,281.94,281.94,281.94,281.94,281.94,281.94,281.94,281.94
Charlotte,281.08,281.08,281.08,281.08,281.08,281.08,281.08,281.08,281.08,281.08,281.08,281.08
Chattanooga,281.92,281.92,281.92,281.92,281.92,281.92,281.92,281.92,281.92,281.92,281.92,281.92
Chennai,298.96,298.96,298.96,298.96,298.96,298.96,298.96,298.96,298.96,298.96,298.96,298.96
Chiang Mai,302.83,302.83,302.83,302.83,302.83,302.83,302.83,302.83,302.83,302.83,302.83,302.83
